index,date,iso_code,total_vacc
411,2021-12-17,AGO,6633285.650566697
412,2021-12-18,AGO,6645323.052553296
413,2021-12-19,AGO,6657134.0413707495
414,2021-12-20,AGO,6668721.395094752
415,2021-12-21,AGO,6680088.586319923
416,2021-12-22,AGO,6691237.698603034
417,2021-12-23,AGO,6702172.204538703
418,2021-12-24,AGO,6712895.576721549
419,2021-12-25,AGO,6723409.8987083435
420,2021-12-26,AGO,6733720.032131553
421,2021-12-27,AGO,6743827.366029024
422,2021-12-28,AGO,6753736.0675143
423,2021-12-29,AGO,6763448.220144153
424,2021-12-30,AGO,6772968.685551047
425,2021-12-31,AGO,6782298.158253908
426,2022-01-01,AGO,6791440.805366278
427,2022-01-02,AGO,6800399.404963851
428,2022-01-03,AGO,6809178.124160171
429,2022-01-04,AGO,6817777.65747416
430,2022-01-05,AGO,6826202.866538286
431,2022-01-06,AGO,6834456.529428244
432,2022-01-07,AGO,6842540.03518188
433,2022-01-08,AGO,6850458.939950585
434,2022-01-09,AGO,6858213.24373436
435,2022-01-10,AGO,6865807.808165669
436,2022-01-11,AGO,6873243.327763438
437,2022-01-12,AGO,6880526.05319798
438,2022-01-13,AGO,6887654.595431447
439,2022-01-14,AGO,6894634.51061523
440,2022-01-15,AGO,6901468.576825023
441,2022-01-16,AGO,6908157.48857975
442,2022-01-17,AGO,6914706.107511878
443,2022-01-18,AGO,6921114.433621407
444,2022-01-19,AGO,6927387.328540802
445,2022-01-20,AGO,6933527.570345759
446,2022-01-21,AGO,6939535.159036279
447,2022-01-22,AGO,6945414.956244826
448,2022-01-23,AGO,6951168.35100925
449,2022-01-24,AGO,6956798.121405244
450,2021-10-27,AIA,5968797.725070596
451,2021-10-28,AIA,5974184.413843274
452,2021-10-29,AIA,5987453.892400622
453,2021-10-30,AIA,6004657.126142144
454,2021-10-31,AIA,6024010.590471625
455,2021-11-01,AIA,6044465.561814189
456,2021-11-02,AIA,6065410.168998003
457,2021-11-03,AIA,6086488.123815179
458,2021-11-04,AIA,6107497.321258903
459,2021-11-05,AIA,6128321.776668906
460,2021-11-06,AIA,6148896.89978528
461,2021-11-07,AIA,6169186.575623989
462,2021-11-08,AIA,6189170.663136244
463,2021-11-09,AIA,6208839.439057112
464,2021-11-10,AIA,6228186.652716279
465,2021-11-11,AIA,6247209.526038051
466,2021-11-12,AIA,6265909.448060274
467,2021-11-13,AIA,6284285.029745102
468,2021-11-14,AIA,6302339.743687153
469,2021-11-15,AIA,6320075.673443198
470,2021-11-16,AIA,6337496.9861267805
471,2021-11-17,AIA,6354748.8361929655
472,2021-11-18,AIA,6371709.682830095
473,2021-11-19,AIA,6388385.08218956
474,2021-11-20,AIA,6404777.117828131
475,2021-11-21,AIA,6420891.345897198
476,2021-11-22,AIA,6436731.23899138
477,2021-11-23,AIA,6452299.575186372
478,2021-11-24,AIA,6467599.827076793
479,2021-11-25,AIA,6482634.7727383375
480,2021-11-26,AIA,6497406.4957277775
481,2021-11-27,AIA,6511919.163158655
482,2021-11-28,AIA,6526174.164068818
483,2021-11-29,AIA,6540176.360090733
484,2021-11-30,AIA,6553927.140262246
485,2021-12-01,AIA,6567429.282659054
486,2021-12-02,AIA,6580686.259875774
487,2021-12-03,AIA,6593701.544507027
488,2021-12-04,AIA,6606475.831071734
489,2021-12-05,AIA,6619015.3702402115
490,2021-12-06,AIA,6631320.162012458
491,2021-12-07,AIA,6643395.762539864
492,2021-12-08,AIA,6655242.866341352
493,2021-12-09,AIA,6666866.335049391
494,2021-12-10,AIA,6678268.25222075
495,2021-12-11,AIA,6689452.090450048
496,2021-12-12,AIA,6700421.322331905
497,2021-12-13,AIA,6711178.725942016
498,2021-12-14,AIA,6721727.079356074
499,2021-12-15,AIA,6732069.8551687
500,2021-12-16,AIA,6742209.831455588
501,2021-12-17,AIA,6752150.4808113575
502,2021-12-18,AIA,6761893.886792779
503,2021-12-19,AIA,6771444.911032319
504,2021-12-20,AIA,6780804.248048902
505,2021-12-21,AIA,6789977.4539939165
506,2021-12-22,AIA,6798965.917905211
